SMILES,He,H2,N2,O2,CO2,CH4,URL,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3020,7180,200,1160,6040,237,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3490,8080,190,1143,5990,225,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3620,7730,154,997,5150,163,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,6400,18800,3540,10400,52800,7250,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5600,15300,1970,6620,33300,3130,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5190,14100,1470,5440,25900,2030,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5290,14118,1289,5082,23648,1751,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5420,14100,1100,4620,20400,1440,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5700,16600,2560,8540,44200,4870,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4240,11800,1440,5180,26900,2150,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3960,10700,972,3930,18900,1220,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4245,11141,907,3760,17404,1083,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4150,11000,804,3580,16400,967,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3ccc(C(F)(F)F)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5150,13600,1830,6210,33700,2280,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3ccc(C(F)(F)F)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4120,10700,1090,4230,22100,1250,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3ccc(C(F)(F)F)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4050,9870,875,3640,18400,953,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3ccc(C(F)(F)F)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4170,10100,791,3450,17000,873,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3ccc(C(F)(F)F)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3920,9760,722,3260,15600,792,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,5860,14700,3000,7770,42600,4340,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4690,11300,1800,5410,29000,2150,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4590,10700,1300,4460,22900,1390,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4770,10400,864,3490,16900,890,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C(F)(F)F)cc(C(F)(F)F)c3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4730,10200,741,3170,14800,728,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C)c(C)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4000,11400,1020,3950,22200,1570,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C)c(C)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3650,9870,521,2640,12200,599,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)C1(c3cc4c(cc3-c3cc5c(cc31)C1c3ccccc3C5c3ccccc31)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)c1cc3c(cc1-2)C1c2ccccc2C3c2ccccc21,4580,13170,2315,6390,35600,4600,https://onlinelibrary.wiley.com/doi/10.1002/adfm.202104474,
*c1cc2c(cc1O)C1(CC2(C)C)CC(C)(C)c2cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc21,,259,10.8,45.2,263,9.1,http://dx.doi.org/10.1021/ma300549m ,
*c1cc2c(cc1O)C1(CC2(C)C)CC(C)(C)c2cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(O)cc21,,190,6.9,30.5,198,7.7,http://dx.doi.org/10.1021/ma300549m ,
*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc21,,234,7.8,35.1,182,6.4,http://dx.doi.org/10.1021/ma402033z,
*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc21,,230,8.5,35.5,197,9.1,http://dx.doi.org/10.1021/ma402033z,
*c1cc2c(cc1Br)-c1ccccc1C21c2ccccc2-c2cc(Br)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,501,28.6,111,614,41.1,http://dx.doi.org/10.1021/ma402033z,
*c1cc2c(cc1Br)-c1ccccc1C21c2ccccc2-c2cc(Br)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc21,,531,27,107,580,24.9,http://dx.doi.org/10.1021/ma402033z,
*c1cc2c(cc1Br)-c1ccccc1C21c2ccccc2-c2cc(Br)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc21,,560,28.8,116,693,36.5,http://dx.doi.org/10.1021/ma402033z,
*c1ccc(Oc2cc3c(cc2C)OOc2cc(C)c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)NC8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4C(F)(F)F)cc2C(C)(C)CCC3(C)C)c(C(F)(F)F)c1,,919,69,243,1340,102,http://dx.doi.org/10.1021/ma402033z,
*c1ccc(Oc2cc3c(cc2C)OOc2cc(C)c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc2C(C)(C)CCC3(C)C)cc1,,,3.69,,66,2.55,http://dx.doi.org/10.1016/j.memsci.2017.02.030,
*c1c(C)c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(CC(C)(C)c3cc4oc5cc7c(=O)n(*)c(=O)c7cc5oc4cc32)CC6(C)C)c(C)c1C,,,1.87,,32.1,1.28,http://dx.doi.org/10.1016/j.memsci.2017.02.030,
*c1cc(C(c2ccc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)c2)(C(F)(F)F)C(F)(F)F)ccc1C,,,1.42,,21.2,0.77,http://dx.doi.org/10.1016/j.memsci.2017.02.030,
*c1ccc(C(c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc2)(C(F)(F)F)C(F)(F)F)cc1,260,530,47,150,1100,77,http://dx.doi.org/10.1021/ma901430q,
*c1ccc(-c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc2C(F)(F)F)c(C(F)(F)F)c1,160,220,9,39,210,9,http://dx.doi.org/10.1021/ma901430q,
*c1cccc2c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cccc12,190,360,23,85,520,27,http://dx.doi.org/10.1021/ma901430q,
*c1c(C)cc(-c2cc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)c3ccccc23)c2ccccc12,205,300,16,64,420,20,http://dx.doi.org/10.1021/ma901430q,
*c1c(C)ccc2c(-c3cccc4c(N5C(=O)c6cc7c(cc6C5=O)C5(CC(C)(C)c6cc8c(cc65)C(=O)N(*)C8=O)CC7(C)C)c(C)ccc34)cccc12,190,350,19,77,510,27,http://dx.doi.org/10.1021/ma901430q,
*c1cc(C)c2c(c1)CN1CN2Cc2cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc(C)c21,660,1600,160,545,3700,260,http://dx.doi.org/10.1021/ma901430q,
*c1cc(C)c2c(c1)CN1CN2Cc2cc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc(C)c21,,2650,440,1195,8210,840,http://dx.doi.org/10.1021/ma901430q,
*c1ccc2c(c1C)N1Cc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3N(C2)C1,,253,6.5,28,155,3.3,http://dx.doi.org/10.1021/mz500184z,
*c1ccc2c(c1C)N1Cc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c(C)c3N(C2)C1,,36.4,0.5,2.5,13.4,0.37,http://dx.doi.org/10.1021/mz500184z,
*c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(N1C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C1=O)c2C,,390,12,47,285,8,http://dx.doi.org/10.1021/mz500184z,
*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,159,3.8,16.2,106,2.2,http://dx.doi.org/10.1021/mz500184z,
*c1ccc(Oc2cc3c(cc2C)OOc2cc(C)c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c(C(C)(C)C)c4)cc2C(C)(C)CCC3(C)C)cc1C(C)(C)C,,1446,133,408,1672,116,https://pubs.acs.org/doi/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(-n1c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c1=O)c2C,,3300,290,1080,4460,390,https://pubs.acs.org/doi/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(N1C(=O)c3cc4c(cc3C1=O)C1(CC(C)(C)c3cc5c(cc31)C(=O)N(*)C5=O)CC4(C)C)c2C,,3200,373,1132,5140,591,https://pubs.acs.org/doi/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1CN2Cc2c1cc(C)c(N1C(=O)c3cc4c(cc3C1=O)C1(c3ccccc3-c3cc5c(cc31)C(=O)N(*)C5=O)c1ccccc1-4)c2C,,2901,264,941,4476,371,https://pubs.acs.org/doi/10.1021/acs.macromol.6b00351,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,,,342,1017,5093,555,https://pubs.acs.org/doi/10.1021/acs.macromol.6b00351,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,,1300,92,370,2300,125,https://pubs.acs.org/doi/10.1021/acs.macromol.6b00351,
*c1nc2cc(C(c3ccc4oc(-c5ccc6c(c5)Oc5cc7c(cc5O6)C5(CC7(C)C)CC(C)(C)c6cc7oc8cc9c(=O)n(*)c(=O)c9cc8oc7cc65)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,244,360,16,70,348,16,https://www.semanticscholar.org/paper/Thermally-Rearrangeable-PIM-Polyimides-for-Gas-Shamsipur-Dawood/70047aac4359128f0cff6d8fa8eafc66cd610dc8,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(c(C(N)=S)c(*)c(*)c1C(N)=S)O3,184,290,8.3,42,248,9.4,https://www.semanticscholar.org/paper/Thermally-Rearrangeable-PIM-Polyimides-for-Gas-Shamsipur-Dawood/70047aac4359128f0cff6d8fa8eafc66cd610dc8,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(c(/C(N)=N/O)c(*)c(*)c1/C(N)=N/O)O3,400,768,35,134,870,40,https://www.semanticscholar.org/paper/Thermally-Rearrangeable-PIM-Polyimides-for-Gas-Shamsipur-Dawood/70047aac4359128f0cff6d8fa8eafc66cd610dc8,
*Oc1cc2c(cc1O*)C(C(C)(C)C)(C(C)(C)C)CC21CC(C(C)(C)C)(C(C)(C)C)c2cc3c(cc21)Oc1c(c(C(=O)O)c(*)c(*)c1C(=O)O)O3,177,277,7.2,39,235,7.4,https://www.semanticscholar.org/paper/Thermally-Rearrangeable-PIM-Polyimides-for-Gas-Shamsipur-Dawood/70047aac4359128f0cff6d8fa8eafc66cd610dc8,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(c(-c2nnn(C)n2)c(*)c(*)c1-c1nnnn1C)O3,,92,3.9,19,150,8.7,http://dx.doi.org/10.1021/ma200918h,
*Oc1cc2c(cc1O*)C(C)(C)CC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1C4)O2,391,876,55.7,216,295,82.8,http://dx.doi.org/10.1021/ma401869p,
*Oc1cc2c(cc1O*)C1(CC2(C)CC)c2cc3c(cc2C(C)(CC)C1C)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,863,2210,181,662,1230,259,http://dx.doi.org/10.1021/ma401869p,
*c1ccc2c(c1)Oc1cc3c(cc1O2)C1(CC3(C)C)CC(C)(C)c2cc3c(cc21)Oc1ccc(-c2nc4cc5oc(*)nc5cc4o2)cc1O3,483,1060,55,232,309,69,http://dx.doi.org/10.1021/ma401869p,
*c1ccc2c(c1)Oc1cc3c(cc1O2)C1(CC3(C)C)CC(C)(C)c2cc3c(cc21)Oc1ccc(-c2nc4cc5oc(*)nc5cc4o2)cc1O3,1200,3070,230,895,1890,303,http://dx.doi.org/10.1021/ma401869p,
*c1ccc2c(c1)Oc1cc3c(cc1O2)C1(CC3(C)C)CC(C)(C)c2cc3c(cc21)Oc1ccc(-c2nc4cc5oc(*)nc5cc4o2)cc1O3,,912,33,147,1153,34,http://dx.doi.org/10.1126/sciadv.aaw5459,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,,1619,142.9,462.2,2654,208.6,https://doi.org/10.1016/j.polymer.2015.01.013,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,,,62.7,269.6,1391,,https://doi.org/10.1016/j.polymer.2012.07.055,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,330,600,40,150,1070,56,https://doi.org/10.1002/macp.201100089,
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,880,2100,320,820,6100,580,https://doi.org/10.1002/macp.201100089,
*c1cccc(C(c2cccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)c1,,,3.47,16.3,63.9,1.6,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1ccc(C(c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,,,0.26,1.8,5.1,0.08,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,,3.6,0.018,0.13,0.5,0.008,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,3,0.049,0.22,1.14,0.026,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,,40.2,0.447,3.01,9.2,0.16,https://onlinelibrary.wiley.com/doi/10.1002/polb.1992.090300813,
*c1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C,,106,2.24,11.3,40.1,0.877,https://onlinelibrary.wiley.com/doi/10.1002/polb.1992.090300813,
*c1c(C)cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C,,516,31.6,109,431,26,https://onlinelibrary.wiley.com/doi/10.1002/polb.1992.090300813,
*c1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,,45.5,0.799,4.22,15.3,0.286,https://onlinelibrary.wiley.com/doi/10.1002/polb.1992.090300813,
*c1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1C,,119,2.67,13.4,42.7,1.07,https://onlinelibrary.wiley.com/doi/10.1002/polb.1992.090300813,
*c1c(C)c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C,,549,35.6,122,440,28.2,https://onlinelibrary.wiley.com/doi/10.1002/polb.1992.090300813,
*c1c(C)cc(-c2cc(C)c(-c3cc(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc2C)cc1C,230,350,16.5,67,360,15,https://pubs.acs.org/doi/10.1021/ma9910742,
*c1cccc(-c2cc(C)c(-c3cccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3C)cc2C)c1C,160,210,7.3,32,190,5.6,https://pubs.acs.org/doi/10.1021/ma9910742,
*c1ccc(C)c(-c2cc(C)c(-c3cc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc3C)cc2C)c1,84,100,2.4,12,62,1.9,https://pubs.acs.org/doi/10.1021/ma9910742,
*c1ccc(-c2cc(C)c(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc2C)cc1C,47,51,1.6,8.6,,1.1,https://pubs.acs.org/doi/10.1021/ma9910742,
*c1ccc(-c2cc(C)c(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3C)cc2C)c(C)c1,71,72,1.4,7.2,32,0.88,https://pubs.acs.org/doi/10.1021/ma9910742,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,,0.83,4.34,23,0.38,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1ccc(Cc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,,0.81,4.6,19.3,0.43,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,,1.34,7.53,30,0.7,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1ccc(C(c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,,,3.47,16.3,63.9,1.6,https://linkinghub.elsevier.com/retrieve/pii/S0376738800806262,
*c1ccc2c(c1)C1(c3cc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc3-2)[C@H]2CC3CCCC(C2)C[C@@H]1C3,87,0.61,1.21,7.3,31,0.61,https://linkinghub.elsevier.com/retrieve/pii/S2352492815300362,
*c1c(C)cc(C)c(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)c1C,234,,21.9,89,526,26.6,https://linkinghub.elsevier.com/retrieve/pii/S0376738815303392,
*c1c(C)c(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)c(C)c2c1C(C)(C)CC2,535,,58,232,1190,76,https://linkinghub.elsevier.com/retrieve/pii/S0376738815303392,
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2)cc1,36.45,33.5,0.56,3.23,11.9,0.35,https://linkinghub.elsevier.com/retrieve/pii/S0032386103004300,
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2-c2ccccc2)cc1,37.59,34.3,0.62,3.46,13,0.36,https://linkinghub.elsevier.com/retrieve/pii/S0032386103004300,
*c1ccc(Oc2cc(-c3ccccc3)c(Oc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2-c2ccccc2)cc1,43,45.6,1.02,5.26,21.5,0.75,https://linkinghub.elsevier.com/retrieve/pii/S0032386103004300,
*c1ccc(C(c2ccc(-n3c(=O)c4c(-c5ccccc5)c5ccc6c7c(=O)n(*)c(=O)c7c(-c7ccccc7)c7ccc(c4c3=O)c5c76)cc2)(C(F)(F)F)C(F)(F)F)cc1,127,,11,44,261,13,https://linkinghub.elsevier.com/retrieve/pii/S0376738814009107,
*c1c(C)cc(Cc2cc(C)c(-n3c(=O)c4c(-c5ccccc5)c5ccc6c7c(=O)n(*)c(=O)c7c(-c7ccccc7)c7ccc(c4c3=O)c5c76)c(C(C)C)c2)cc1C(C)C,130,,19,75,392,24,https://linkinghub.elsevier.com/retrieve/pii/S0376738814009107,
*c1c(C)cc(C)c(-n2c(=O)c3c(-c4ccccc4)c4ccc5c6c(=O)n(*)c(=O)c6c(-c6ccccc6)c6ccc(c3c2=O)c4c65)c1C,390,,73,280,1600,108,https://linkinghub.elsevier.com/retrieve/pii/S0376738814009107,
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,10.6,0.145,0.82,3.55,0.094,https://linkinghub.elsevier.com/retrieve/pii/003238619290736G,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,3.68,,,0.642,0.01,https://linkinghub.elsevier.com/retrieve/pii/003238619290736G,
